timestamp,user_question,matched_question,accuracy_score
2025-09-10T12:05:53.548385,What's the latest i have to decide to do a placement year?,I'm not sure if I'm going to do a placement year. When do I have to decide by?,0.99
2025-09-10T12:06:16.020233,What financial support is available?,What financial support is available?,0.9994
2025-09-10T12:06:34.425090,Can i do a study year abroad instead?,Are we able to do a study year abroad instead of a placement?,0.9999
2025-09-10T12:10:13.339459,When should I start looking for placements?,When should a part A student start looking for placements?,0.9999
2025-09-10T12:10:29.368135,placement,What is the Placement Year option at Loughborough University?,0.9877
2025-09-10T12:10:36.687400,placements,Where can I find placements?,0.9937
2025-09-10T12:11:09.156422,If i can't find a placement,"If you don't manage to find a placement, what are the steps to take from there? Do you go straight into your final year, or can you find an internship or something like that?",0.9974
2025-09-10T12:11:19.941005,paid placements,Are placements usually voluntary or can you get some paid placements too?,0.9966
2025-09-10T12:11:43.380996,where to find placements,Where can I find placements?,0.9996
2025-09-10T12:15:56.286011,which companies take students and how long does the placement have to be?,How long does my placement have to be?,0.9247
2025-09-10T12:16:11.664873,What if i cant find a placement?,"If you don't manage to find a placement, what are the steps to take from there? Do you go straight into your final year, or can you find an internship or something like that?",0.9931
2025-09-10T12:16:30.523128,Can first years get paid placements or are they usually voluntary?,Are placements usually voluntary or can you get some paid placements too?,0.9794
2025-09-10T12:16:46.534510,Do i have to pay for the placement?,Why do I have to pay tuition fees?,0.9983
2025-09-10T12:17:08.971183,Do i have to pay for the placement year and when's the latest i can decide to do it?,I'm not sure if I'm going to do a placement year. When do I have to decide by?,0.9746
2025-09-10T12:18:28.675566,When should I start looking?,When should a part A student start looking for placements?,0.9985
2025-09-10T12:18:47.462827,How many weeks do i need?,How long does my placement have to be?,0.872
2025-09-10T12:19:08.890364,What support is available during the year?,What support is available from the University while I am on my placement year?,0.9966
2025-09-10T12:19:23.000622,who can review my application?,Can I have an appointment to check over my applications?,0.9882
2025-09-10T12:27:43.938457,How do I switch to a placement year?,How can I add or remove a placement year from my route?,0.9527
2025-09-10T12:32:00.132240,What happens if I can't find a placement?,"If you don't manage to find a placement, what are the steps to take from there? Do you go straight into your final year, or can you find an internship or something like that?",0.987
2025-11-04T19:35:21.710085,What is the placement year at Loughborough?,What is the Placement Year option at Loughborough University?,1.0
