timestamp,question,source

2025-09-04T16:50:27.031556,"And finally, how much money could I make from this placement?",voice

2025-09-05T14:47:55.029389,Okay. Can I change my mind halfway through the year about doing a placement?,voice
2025-09-05T14:49:17.362525,"So from the, oh.",voice
2025-09-05T14:50:46.502300,Okay.,voice
2025-09-05T14:51:13.428503,okay,voice
2025-09-05T14:52:35.446810,okay,voice
2025-09-09T11:58:50.867943,What is the place I'm in?,voice
2025-09-09T11:59:01.660778,좋은생일!,voice
2025-09-09T11:59:11.200664,Extermination!,voice
2025-09-09T12:01:59.275665,Raise your hands in the air!,voice
2025-09-09T16:05:07.435329,Hey.,voice
2025-09-09T16:27:58.414991,Hey,voice
2025-09-09T16:49:04.766133,what is the placement,text
2025-09-09T16:49:11.790092,what is the placement year,text
2025-09-09T16:49:14.842018,what is the placement year,text
2025-09-09T16:49:20.428194,What is the placement year,text
2025-09-09T16:49:29.288373,What is the placement year option,text
